ID,LAT,LON,DEPTH,X,Y,Z,YR,MO,DY,HR,MI,SC,MAG,A,Strike1,Dip1,Rake1,Strike2,Dip2,Rake2,Pazim,Pdip,Tazim,Tdip,Q,Type,Loc
,50.2319,12.4431,8.269,,,,2011,8,25,7,12,,2.15,1,262.72,65.16,156.39,3.13,68.69,26.8,137.7,2.29,46.18,33.65,1,,
,50.2313,12.4431,8.456,,,,2011,8,25,9,26,,2.7,1,247.9,54.67,162.55,348.21,75.84,36.62,156.06,13.65,236.06,-35.58,1,,
,50.2236,12.4471,7.849,,,,2011,8,25,15,50,,2.06,1,264.6,57.14,-145.7,154.29,61.75,-38.02,152.51,45.92,59.61,2.81,1,,
,50.2341,12.4454,8.634,,,,2011,8,25,20,50,,2.11,1,354.74,60.6,11.27,259.15,80.2,150.12,139.86,-13.1,56.93,27.87,1,,
,50.2352,12.4426,8.345,,,,2011,8,25,22,46,,2.11,1,356.47,68.55,21,258.48,70.51,157.18,322.21,1.3,232.95,-29.63,1,,
,50.2395,12.4443,8.919,,,,2011,8,25,22,55,,2.28,1,356.13,80.33,18.11,262.98,72.16,169.84,321.39,-5.62,229.38,-19.6,1,,
,50.2401,12.4444,8.675,,,,2011,8,25,23,21,,2.37,1,354.28,75.14,19.68,259.04,71.01,164.26,323.91,-2.8,232.65,-24.3,1,,
,50.2386,12.4455,8.958,,,,2011,8,25,23,33,,2.01,1,4.4,70.18,16.89,268.52,74.14,159.36,132.96,-2.66,44.25,25.66,1,,
,50.241,12.4459,8.993,,,,2011,8,25,23,49,,2.24,1,4.79,60.89,22.6,263.34,70.38,148.9,134.17,-6.12,48.57,35.55,1,,
,50.2355,12.4448,8.715,,,,2011,8,25,23,59,,2.09,1,344.95,72.72,7.17,252.81,83.15,162.59,150.04,-7.23,242.28,-17.12,1,,
,50.2367,12.4435,9.014,,,,2011,8,26,0,0,,2.16,1,274.88,63.16,161.83,13.31,73.84,28.03,307.73,-7.04,213.46,-31.06,1,,
,50.239,12.445,8.928,,,,2011,8,26,0,10,,2.14,1,2.51,71.6,18.27,266.56,72.7,160.7,135.31,-0.74,45.66,25.69,1,,
,50.2429,12.4452,8.762,,,,2011,8,26,0,15,,2.61,1,4.24,65.64,21.76,264.89,70.27,154.01,134.64,-3.03,46.54,32.04,1,,
,50.236,12.4449,9.171,,,,2011,8,26,0,35,,2.69,1,276.32,64.9,155.59,17.22,68.02,27.22,303.79,-2.02,212.41,-34.37,1,,
,50.2402,12.4467,9.11,,,,2011,8,26,0,57,,2.02,1,357.17,68.87,17.03,260.87,74.15,157.99,320.19,3.54,231.97,-26.62,1,,
,50.2385,12.4464,9.083,,,,2011,8,26,1,5,,2.1,1,265.97,69.08,145.81,9.61,58.34,24.8,130.12,-6.82,45.59,38.58,1,,
,50.2394,12.4449,8.871,,,,2011,8,26,1,40,,2.14,1,359.43,81.29,17.93,266.63,72.28,170.86,317.98,-6.21,225.86,-18.8,1,,
,50.2362,12.445,9.16,,,,2011,8,26,1,45,,2.71,1,286.28,69.86,155.17,25.33,66.78,22.01,293.67,2.02,24.91,31.48,1,,
,50.2366,12.4461,9.214,,,,2011,8,26,2,17,,2.88,1,21.38,62.4,23.05,280.23,69.7,150.4,117.86,-4.72,31.17,34.96,1,,
,50.2407,12.4455,8.95,,,,2011,8,26,2,18,,2.16,1,262.69,72.67,150.33,2.32,61.8,19.75,135.56,-7.09,50.2,33.01,1,,
,50.2391,12.4448,8.949,,,,2011,8,26,2,36,,2.63,1,0.41,78.59,16.79,266.99,73.55,168.1,136.89,3.46,45.63,19.88,1,,
,50.2358,12.4469,9.372,,,,2011,8,26,2,47,,2.07,1,272.06,63.52,149.5,16.77,62.98,30.03,305.48,0.34,215.76,-39.53,1,,
,50.2394,12.4459,9.33,,,,2011,8,26,2,55,,2.31,1,5.98,61.16,22.23,264.82,70.65,149.25,132.85,-6.13,47.18,35.13,1,,
,50.2352,12.4446,9.369,,,,2011,8,26,3,46,,2.05,1,270.13,63.5,152.93,12.98,65.96,29.25,128.91,1.58,217.72,-37.12,1,,
,50.2363,12.447,9.321,,,,2011,8,26,4,40,,2.13,1,274.83,72.46,147.42,15.73,59.11,20.56,122.23,-8.62,38.37,35.18,1,,
,50.2412,12.446,8.973,,,,2011,8,26,6,7,,2.2,1,5.49,61.26,24.4,263.19,68.76,148.94,134.25,-4.81,47.84,36.59,1,,
,50.2368,12.444,8.613,,,,2011,8,26,6,9,,2.07,1,351.24,74.9,5.22,259.88,84.96,164.84,143.57,-7.01,235.36,-14.26,1,,
,50.2419,12.4417,8.318,,,,2011,8,26,6,15,,2.93,1,351.32,88.75,19.61,260.88,70.39,178.68,325.59,-12.82,232.19,-14.64,1,,
,50.2389,12.4469,9.236,,,,2011,8,26,6,49,,2.38,1,264.58,68.69,142.32,10.26,55.29,26.24,129.87,-8.38,47.29,41.27,1,,
,50.2461,12.4437,8.682,,,,2011,8,26,8,26,,2.16,1,259.3,76.54,150.22,356.89,61.12,15.42,139.28,-10.19,55.33,30.41,1,,
,50.2374,12.448,9.389,,,,2011,8,26,8,51,,2.24,1,275.45,68.47,145.26,19.74,57.99,25.65,120.35,-6.62,35.82,39.37,1,,
,50.2396,12.4445,8.889,,,,2011,8,26,8,52,,2.08,1,261.88,72.31,166.34,356.11,76.99,18.17,141.61,3.2,230.32,-21.96,1,,
,50.2345,12.4435,9.186,,,,2011,8,26,9,6,,2.02,1,282.43,68.68,163.52,18.56,74.68,22.14,300.39,-4.03,28.39,26.36,1,,
,50.2448,12.4446,9.284,,,,2011,8,26,11,31,,2.12,1,339.93,87.94,15.77,249.35,74.25,177.86,156.43,9.59,64.27,12.56,1,,
