ID,LAT,LON,DEPTH,X,Y,Z,YR,MO,DY,HR,MI,SC,MAG,A,Strike1,Dip1,Rake1,Strike2,Dip2,Rake2,Pazim,Pdip,Tazim,Tdip,Q,Type
KP199612150448,47.330138,7.900243,16.651,634893,242244,-16651.0,1996,12,15,4,49,8.8,3.0,0,313,50,-141,195,61,-47,158,53,256,6,1,ON
KP199612251239,46.214835,7.201406,7.761,581692,118182,-7761.0,1996,12,25,12,39,25.4,3.1,0,252,80,-170,160,80,-10,116,14,206,0,1,SS
KP199702210504,47.423919,7.871511,7.733,632664,252658,-7733.0,1997,2,21,5,4,26.9,1.7,1,316,55,-114,174,42,-60,171,69,63,7,1,NF
KP199709020030,47.593793,7.853746,24.237,631223,271538,-24237.0,1997,9,2,0,30,53.4,2.6,0,128,53,-90,308,37,-90,38,82,218,8,1,NF
KP199710231206,47.173989,8.61278,25.922,689009,225447,-25922.0,1997,10,23,12,7,2.0,3.2,0,221,65,-2,312,88,-155,179,19,84,16,1,SS
KP199711220455,47.126582,9.206666,-0.413,734142,221021,413.0,1997,11,22,4,56,10.0,3.8,0,256,28,83,84,62,94,171,17,4,73,2,TF
KP199711280830,46.444309,7.890092,8.747,634691,143763,-8747.0,1997,11,28,8,30,20.6,2.9,0,250,60,-150,144,64,-34,105,41,198,3,2,ON
KP199804210230,47.163761,9.327698,7.834,743224,225368,-7834.0,1998,4,21,2,30,56.0,3.6,0,209,78,6,118,84,168,164,4,73,13,1,SS
KP199805071716,46.135828,7.374635,3.969,595053,109373,-3969.0,1998,5,7,17,16,43.2,3.3,0,92,55,-90,272,35,-90,2,80,182,10,1,NF
KP199812092207,46.19172,7.543955,2.099,608130,115590,-2099.0,1998,12,9,22,8,14.9,3.5,0,256,28,-80,65,62,-95,323,72,159,17,1,NF
KP199902140557,46.80354,7.225758,4.571,583750,183620,-4571.0,1999,2,14,5,57,54.0,4.2,1,354,88,9,264,81,178,129,5,219,8,1,SS
KP199905201311,46.656361,7.315468,6.942,590572,167244,-6942.0,1999,5,20,13,11,35.8,3.8,0,300,42,-82,109,49,-97,326,84,204,3,1,NF
KP199907132046,47.503282,7.689579,18.174,618908,261422,-18174.0,1999,7,13,20,47,1.6,2.8,0,215,70,-5,307,85,-160,173,17,79,11,1,SS
KP199909121325,47.573401,8.540272,1.674,682890,269770,-1674.0,1999,9,12,13,25,22.5,3.2,0,151,80,175,242,85,10,16,3,107,11,1,SS
KP199912290929,46.14195,6.904122,4.23,558696,110193,-4230.0,1999,12,29,9,29,30.1,3.3,0,111,34,-105,309,57,-80,249,76,32,11,1,NF
KP199912292042,46.560118,10.308062,4.085,819979,160560,-4085.0,1999,12,29,20,42,35.4,5.1,0,330,25,-94,155,65,-88,69,70,243,20,2,NF
KP200002222245,46.873756,10.00566,1.649,795664,194604,-1649.0,2000,2,22,22,45,33.6,3.4,0,174,68,-10,268,81,-158,133,22,39,9,1,SS
KP200002230406,47.067314,9.522741,7.907,758293,215024,-7907.0,2000,2,23,4,7,7.5,3.7,1,183,56,18,83,75,145,137,12,38,35,1,SS
KP200003041543,47.23341,9.485759,1.647,755003,233409,-1647.0,2000,3,4,15,43,19.9,3.6,0,235,20,90,55,70,90,145,25,325,65,1,TF
KP200004060043,47.352369,7.181303,0.338,580557,244645,-338.0,2000,4,6,0,43,19.2,3.2,0,262,32,92,80,58,89,170,13,346,77,2,TF
KP200004061740,46.551733,10.376873,9.013,825287,159824,-9013.0,2000,4,6,17,40,37.2,4.3,0,169,67,-90,348,23,-91,80,68,259,22,9,NF
KP200006031514,47.219392,10.125749,4.03,803497,233314,-4030.0000000000005,2000,6,3,15,14,10.9,3.9,0,23,57,-12,120,80,-146,347,31,247,15,1,SS
KP200006200618,47.46342,7.782871,16.247,625956,257017,-16247.0,2000,6,20,6,18,49.2,3.0,0,111,35,-118,324,60,-72,273,70,41,13,1,NF
KP200008170713,46.973068,8.469812,7.414,678465,202959,-7414.0,2000,8,17,7,14,7.7,3.0,0,280,80,172,11,82,10,145,1,235,13,1,SS
KP200008190837,46.039003,6.662358,2.344,539901,98906,-2344.0,2000,8,19,8,37,24.6,3.3,1,90,83,-170,359,80,-7,315,12,224,2,1,SS
KP200011131630,47.218775,7.551246,7.194,608530,229766,-7194.0,2000,11,13,16,30,40.2,3.4,0,90,75,-178,359,88,-15,313,12,45,9,1,SS
KP200102232219,46.13794,7.027224,4.699,568206,109690,-4699.0,2001,2,23,22,19,42.0,3.6,2,129,52,-9,224,83,-142,93,31,350,20,1,SS
KP200103141037,47.356064,9.584686,27.01,762118,247241,-27010.0,2001,3,14,10,37,19.1,2.9,0,10,76,-10,102,80,-166,327,17,236,3,1,SS
KP200103170029,46.926449,8.998444,2.919,718789,198442,-2919.0,2001,3,17,0,30,0.4,3.8,0,82,80,175,173,85,10,307,3,38,11,1,SS
KP200104060222,45.87,9.234,22.0,739412,81414,-22000.0,2001,4,6,2,22,52.6,3.8,0,320,50,126,91,52,55,205,1,297,63,2,OT
KP200104120706,47.613524,7.531974,7.419,607019,273654,-7419.0,2001,4,12,7,6,43.1,2.9,0,123,40,-130,351,61,-62,308,63,61,11,1,ON
KP200107092249,46.176896,7.609391,6.223,613186,113951,-6223.0,2001,7,9,22,50,2.7,3.2,0,276,42,-72,72,50,-106,283,77,173,4,2,NF
KP200107171506,46.666,11.094,10.0,879644,174825,-10000.0,2001,7,17,15,6,14.5,5.0,0,118,89,175,208,85,1,163,3,73,4,9,SS
KP200110010636,46.560781,10.349338,5.187,823139,160751,-5187.0,2001,10,1,6,36,22.5,4.2,0,146,59,-72,293,36,-117,96,70,223,12,9,NF
KP200201101927,47.580999,9.067,23.344,722499,271304,-23344.0,2002,1,10,19,27,26.0,3.1,0,312,68,-158,213,70,-24,172,31,263,1,1,SS
KP200204291513,46.099743,8.475233,21.713,680160,105889,-21713.0,2002,4,29,15,14,9.6,3.8,0,170,68,-31,273,61,-154,129,37,223,4,2,ON
KP200205311649,46.317468,7.350275,4.135,593193,129567,-4135.0,2002,5,31,16,50,33.7,3.5,0,46,24,-94,231,66,-88,145,69,319,21,1,NF
KP200212092241,45.967437,7.934093,8.995,638407,90772,-8995.0,2002,12,9,22,41,55.7,2.7,1,318,76,-20,53,71,-165,275,24,6,4,1,SS
KP200302042049,46.058995,7.770226,6.739,625661,100884,-6739.0,2003,2,4,20,49,41.2,3.3,0,91,40,-106,292,52,-77,252,78,13,6,1,NF
KP200303221336,48.269254,8.994728,8.458,715545,347717,-8458.0,2003,3,22,13,36,15.1,4.4,0,290,79,172,22,82,11,156,2,246,13,9,SS
KP200304290454,46.338523,7.570554,8.539,610156,131912,-8539.0,2003,4,29,4,55,9.4,3.9,0,67,48,138,188,60,50,305,7,45,55,1,OT
KP200305062159,46.913174,8.905786,3.26,711761,196830,-3260.0,2003,5,6,21,59,43.8,4.0,0,264,74,-169,171,79,-16,127,19,218,3,1,SS
